2025-11-12 18:47:42 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-12 23:38:50 [INFO] Fetched data for Chandigarh at 2025-11-13 05:08:50.766739+05:30 (IST).
2025-11-12 23:38:51 [INFO] Fetched data for Bhubaneswar at 2025-11-13 05:08:51.591456+05:30 (IST).
2025-11-12 23:38:51 [INFO] Fetched data for Thiruvananthapuram at 2025-11-13 05:08:51.633911+05:30 (IST).
2025-11-12 23:38:51 [INFO] Fetched data for Imphal at 2025-11-13 05:08:51.655023+05:30 (IST).
2025-11-12 23:38:51 [INFO] Fetched data for Dispur at 2025-11-13 05:08:51.673528+05:30 (IST).
2025-11-12 23:38:51 [INFO] Fetched data for Agartala at 2025-11-13 05:08:51.699240+05:30 (IST).
2025-11-12 23:38:51 [INFO] Fetched data for Aizawl at 2025-11-13 05:08:51.783772+05:30 (IST).
2025-11-12 23:38:52 [INFO] Fetched data for Shillong at 2025-11-13 05:08:52.569918+05:30 (IST).
2025-11-12 23:38:52 [INFO] Fetched data for Itanagar at 2025-11-13 05:08:52.678766+05:30 (IST).
2025-11-12 23:38:52 [INFO] Fetched data for Kohima at 2025-11-13 05:08:52.681779+05:30 (IST).
2025-11-12 23:38:52 [INFO] Fetched data for Gangtok at 2025-11-13 05:08:52.696129+05:30 (IST).
2025-11-12 23:38:52 [INFO] Fetched data for Dehradun at 2025-11-13 05:08:52.718999+05:30 (IST).
2025-11-12 23:38:52 [INFO] Fetched data for Raipur at 2025-11-13 05:08:52.744399+05:30 (IST).
2025-11-12 23:38:53 [INFO] Fetched data for Ranchi at 2025-11-13 05:08:53.637002+05:30 (IST).
2025-11-12 23:38:53 [INFO] Fetched data for Kavaratti at 2025-11-13 05:08:53.683851+05:30 (IST).
2025-11-12 23:38:53 [INFO] Fetched data for Puducherry at 2025-11-13 05:08:53.712826+05:30 (IST).
2025-11-12 23:38:53 [INFO] Fetched data for Panaji at 2025-11-13 05:08:53.730388+05:30 (IST).
2025-11-12 23:38:53 [INFO] Fetched data for Port Blair at 2025-11-13 05:08:53.763418+05:30 (IST).
2025-11-12 23:38:53 [INFO] Fetched data for Srinagar at 2025-11-13 05:08:53.807050+05:30 (IST).
2025-11-12 23:38:54 [INFO] Fetched data for Leh at 2025-11-13 05:08:54.682892+05:30 (IST).
2025-11-12 23:38:57 [INFO] Inserted 31 records successfully at 2025-11-13 05:08:57.090259+05:30 (IST).
2025-11-12 23:38:57 [INFO] Script completed successfully (IST).
2025-11-13 02:20:42 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-13 02:20:43 [INFO] Fetched data for Hyderabad at 2025-11-13 07:50:43.568396+05:30 (IST).
2025-11-13 02:20:43 [INFO] Fetched data for Mumbai at 2025-11-13 07:50:43.572160+05:30 (IST).
2025-11-13 02:20:43 [INFO] Fetched data for Chennai at 2025-11-13 07:50:43.574095+05:30 (IST).
